exposure	outcome	group	adjusted	method	b	se	pval
WHRadjBMI	endometrioid_cancer	WHRadjBMI_la	la	Multivariable MR	-0.102235161591901	0.101069481893789	0.312493397261135
la	endometrioid_cancer	WHRadjBMI_la	WHRadjBMI	Multivariable MR	0.0125146946274257	0.129072206129051	0.922817215296013
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_la	la	Multivariable MR	0.206974382012015	0.21304258774917	0.332004862587328
la	non_endometrioid_cancer	WHRadjBMI_la	WHRadjBMI	Multivariable MR	-0.134582394351074	0.27307797639427	0.622457907075805
WHRadjBMI	Endometrial cancer	WHRadjBMI_ldlc	ldlc	Multivariable MR	-0.0178268859224533	0.0894149345157471	0.842094099016831
ldlc	Endometrial cancer	WHRadjBMI_ldlc	WHRadjBMI	Multivariable MR	0.03595336365405	0.11311499227876	0.750801341261501
WHRadjBMI	endometrioid_cancer	WHRadjBMI_ldlc	ldlc	Multivariable MR	-0.0865738224192943	0.101561287985922	0.394594062335403
ldlc	endometrioid_cancer	WHRadjBMI_ldlc	WHRadjBMI	Multivariable MR	-0.0210186130580855	0.128437451214225	0.870107936812882
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_ldlc	ldlc	Multivariable MR	0.245199028509259	0.215205090227115	0.255388953368168
ldlc	non_endometrioid_cancer	WHRadjBMI_ldlc	WHRadjBMI	Multivariable MR	-0.445647703671367	0.278206590728041	0.110161283684584
WHRadjBMI	Endometrial cancer	WHRadjBMI_ldlce	ldlce	Multivariable MR	-0.0255244945532375	0.089866069892614	0.776566388165769
ldlce	Endometrial cancer	WHRadjBMI_ldlce	WHRadjBMI	Multivariable MR	0.0314597901688199	0.116275364663392	0.786895926536923
WHRadjBMI	endometrioid_cancer	WHRadjBMI_ldlce	ldlce	Multivariable MR	-0.0932091160376879	0.102338224213474	0.363066325421938
ldlce	endometrioid_cancer	WHRadjBMI_ldlce	WHRadjBMI	Multivariable MR	-0.0393742977225633	0.132390125441723	0.766339209458638
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_ldlce	ldlce	Multivariable MR	0.23927899167802	0.21456795562624	0.265603003954875
ldlce	non_endometrioid_cancer	WHRadjBMI_ldlce	WHRadjBMI	Multivariable MR	-0.332426678815416	0.283918398540949	0.242515672796813
WHRadjBMI	Endometrial cancer	WHRadjBMI_ldlp	ldlp	Multivariable MR	-0.0230028032847261	0.0888048190142631	0.795774822923901
ldlp	Endometrial cancer	WHRadjBMI_ldlp	WHRadjBMI	Multivariable MR	-0.0161610841821544	0.105432823330288	0.878267764145334
WHRadjBMI	endometrioid_cancer	WHRadjBMI_ldlp	ldlp	Multivariable MR	-0.0923480937316375	0.100852799016268	0.360501510153937
ldlp	endometrioid_cancer	WHRadjBMI_ldlp	WHRadjBMI	Multivariable MR	-0.0803205841111349	0.120291112288648	0.50477587377747
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_ldlp	ldlp	Multivariable MR	0.207634532912187	0.213881327118128	0.33236444068773
ldlp	non_endometrioid_cancer	WHRadjBMI_ldlp	WHRadjBMI	Multivariable MR	-0.259584751077651	0.247823494204999	0.295657196596328
WHRadjBMI	Endometrial cancer	WHRadjBMI_mhdlcepct	mhdlcepct	Multivariable MR	-0.0623217310164768	0.0946304558550234	0.510624691302808
mhdlcepct	Endometrial cancer	WHRadjBMI_mhdlcepct	WHRadjBMI	Multivariable MR	-0.21293778938176	0.0988759494936941	0.0319966683190607
WHRadjBMI	endometrioid_cancer	WHRadjBMI_mhdlcepct	mhdlcepct	Multivariable MR	-0.132273809156026	0.107709516590768	0.220299412145016
mhdlcepct	endometrioid_cancer	WHRadjBMI_mhdlcepct	WHRadjBMI	Multivariable MR	-0.176241788498724	0.113106612707584	0.120146281096139
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_mhdlcepct	mhdlcepct	Multivariable MR	-0.0182898722244399	0.232682385504231	0.937395468830862
mhdlcepct	non_endometrioid_cancer	WHRadjBMI_mhdlcepct	WHRadjBMI	Multivariable MR	-0.689433511514001	0.239540987309198	0.00426427575879186
WHRadjBMI	Endometrial cancer	WHRadjBMI_mldlfcpct	mldlfcpct	Multivariable MR	-0.00821510667600234	0.0935678190228163	0.930089826332441
mldlfcpct	Endometrial cancer	WHRadjBMI_mldlfcpct	WHRadjBMI	Multivariable MR	-0.0355171353900079	0.0860326965249713	0.67999545896914
WHRadjBMI	endometrioid_cancer	WHRadjBMI_mldlfcpct	mldlfcpct	Multivariable MR	-0.0705154977044227	0.105953512134463	0.506172112749054
mldlfcpct	endometrioid_cancer	WHRadjBMI_mldlfcpct	WHRadjBMI	Multivariable MR	0.0219589654570982	0.0977824864108643	0.822452329655175
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_mldlfcpct	mldlfcpct	Multivariable MR	0.0915101506736572	0.234850175375508	0.697047349603735
mldlfcpct	non_endometrioid_cancer	WHRadjBMI_mldlfcpct	WHRadjBMI	Multivariable MR	-0.361613413910985	0.216142215042393	0.095279758811984
WHRadjBMI	Endometrial cancer	WHRadjBMI_shdltgpct	shdltgpct	Multivariable MR	-0.00991657962082255	0.0966294644444822	0.91832444082521
shdltgpct	Endometrial cancer	WHRadjBMI_shdltgpct	WHRadjBMI	Multivariable MR	0.0428391978227157	0.0958883562680121	0.655346879957955
WHRadjBMI	endometrioid_cancer	WHRadjBMI_shdltgpct	shdltgpct	Multivariable MR	-0.0554818106662865	0.110450291817906	0.615782045372214
shdltgpct	endometrioid_cancer	WHRadjBMI_shdltgpct	WHRadjBMI	Multivariable MR	-0.0173931948470383	0.110395483516365	0.874907091927578
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_shdltgpct	shdltgpct	Multivariable MR	0.0208875349704905	0.236869508917498	0.92978766374217
shdltgpct	non_endometrioid_cancer	WHRadjBMI_shdltgpct	WHRadjBMI	Multivariable MR	0.509232253625264	0.232740472588513	0.0293959929072065
WHRadjBMI	Endometrial cancer	WHRadjBMI_svldlcpct	svldlcpct	Multivariable MR	-0.00163815308818355	0.092276788746935	0.985846912970692
