exposure	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	UKB_b	UKB_se	UKB_p	meta_direction	metabolite	ng_anno_label	INTERVAL_label	UKB_label	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label.no.units	ng_anno_derived
bmi	Triglycerides in small VLDL (mmol/l)	0.101059089384461	0.0185798104241235	5.35238314202149e-08	0.0273882558369874	0.0139092778656844	0.0489457626247884	5.43867911580116e-08	0.0297050818565215	0.00148089817630235	8.34773694900245e-85	0.0683889910318343	0.0358590332402051	0.0564995928211762	+ + + + +	svldltg	svldltg	svldltg	svldltg	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Triglycerides	no
bmi	Tyrosine (mmol/l)	0.0627872782071166	0.0165966505257157	0.000154868785630746	0.0604080217083686	0.0126318937417729	1.73402102990298e-06	6.18675652640836e-09	0.00342540376445161	0.000192484320304326	6.88466935467013e-68	0.114569132705414	0.0305173519628275	0.000173875734917665	+ + + + +	tyr	tyr	tyr	tyr	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	Tyrosine	no
bmi	Valine (mmol/l)	0.0560734273343357	0.0170946647852506	0.00103744107107199	0.0599220825699869	0.0118075349939497	3.87695829428176e-07	9.10367406039931e-09	0.0105815335986466	0.000490930615393104	7.45575879775091e-97	0.140726848467473	0.0313350953135879	7.08796148651426e-06	+ + + + +	val	val	val	val	Valine (mmol/l)	Amino acids	Branched-chain amino acids	Valine	no
bmi	Mean diameter for VLDL particles (nm)	0.0874446899956431	0.0189418198452433	3.90287985698533e-06	0.0425711002039037	0.0142648764964705	0.00284199991009118	2.14264337277619e-07	0.439557637718613	0.0201822499094284	9.96903198977732e-99	0.0946070108003701	0.0370499259413651	0.0106646072751361	+ + + + +	vldlsize	vldld	vldld	vldlsize	Mean diameter for VLDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	VLDL particles size	no
bmi	Total lipids in very large VLDL (mmol/l)	0.112217582725525	0.0185578691555499	1.47659157876941e-09	0.0479382710112856	0.0136411263478666	0.000441004528860371	1.89233847519114e-11	0.0175592143143891	0.00088945915563103	2.46449371558699e-82	0.073630672233146	0.0380856196980385	0.0532000804556296	+ + + + +	xlvldll	xlvldll	xlvldll	xlvldll	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total lipids	no
bmi	Concentration of very large VLDL particles (mol/l)	0.109786105171105	0.018810880740326	5.33700039657409e-09	0.0234561473643903	0.0136950847048411	0.0867600066401124	1.04152159746279e-08	1.74825633716149e-10	8.98302379678577e-12	3.48694188396796e-80	0.0770566142166917	0.0386483103303639	0.0461750101056484	+ + + + +	xlvldlp	xlvldlp	xlvldlp	xlvldlp	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	Particle concentration	no
bmi	Phospholipids in very large VLDL (mmol/l)	0.104817810067766	0.0182497937100137	9.27357641380774e-09	0.0234561473643903	0.0136950847048411	0.0867600066401124	1.76529558201306e-08	0.00286311244308497	0.000147991603707094	2.64360887403403e-79	0.0697214408830315	0.0387901478507624	0.0722720215927428	+ + + + +	xlvldlpl	xlvldlpl	xlvldlpl	xlvldlpl	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Phospholipids	no
bmi	Triglycerides in very large VLDL (mmol/l)	0.105133827606423	0.0179991416291302	5.18738455810796e-09	0.0148641827643033	0.013909375578904	0.285229724918409	3.15620027800229e-08	0.0112133682708032	0.000564077911869263	2.10927390345588e-83	0.0806303162755283	0.0376206197623931	0.0320931936780977	+ + + + +	xlvldltg	xlvldltg	xlvldltg	xlvldltg	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Triglycerides	no
bmi	Triglycerides in very small VLDL (mmol/l)	0.107166288958605	0.0191696751437469	2.26537797976333e-08	0.0412521283689747	0.0138291130178533	0.00285445801314544	1.58180507791328e-09	0.00992304155143715	0.000554724167955648	1.50987558100588e-68	0.0646869748355712	0.0343682298140475	0.0598124488774639	+ + + + +	xsvldltg	xsvldltg	xsvldltg	xsvldltg	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Triglycerides	no
bmi	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	0.115604039505452	0.0186840970689842	6.12049653897439e-10	0.0448752699618976	0.0135108980528803	0.000895629585334765	1.60242038306602e-11	0.00644894557067635	0.000333592972643732	3.41842970002943e-79	0.0702305993482608	0.0339171730997992	0.0383915025393343	+ + + + +	xxlvldll	xxlvldll	xxlvldlfc_	xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids	no
bmi	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	0.107113147309587	0.0193191690336734	2.9496851361283e-08	0.000306007656161595	0.0136185231176177	0.982073075188633	5.31768824103792e-07	2.93393290470872e-11	1.54404776605071e-12	1.06654051127188e-76	0.0855946617741999	0.0345273710142186	0.013173730252322	+ + + + +	xxlvldlp	xxlvldlp	xxlvldlp	xxlvldlp	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	Particle concentration	no
bmi	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	0.10582257350589	0.017715938321326	2.32505065838038e-09	0.000306007656161595	0.0136185231176177	0.982073075188633	4.77169765803103e-08	0.000784539318505111	4.12677916000864e-05	9.07199933333804e-77	0.086937571395116	0.0352714834486627	0.0137085203479348	+ + + + +	xxlvldlpl	xxlvldlpl	xxlvldlpl	xxlvldlpl	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Phospholipids	no
bmi	Apolipoprotein A-I (g/l)	-0.0618925560715926	0.0191703747872741	0.00124418541103606	-0.0717537646438521	0.0142244901694552	4.54989098434076e-07	1.2619447015487e-08	-0.0345625709632782	0.00280571344483353	3.63610451152865e-34	-0.17391850796227	0.0467891654186099	0.000201548236392221	- - - - -	apoa1	apoa1	apoa1	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I	no
bmi	Glutamine (mmol/l)	-0.0423559428669586	0.0166703666157813	0.0110601529862142	-0.0497065875098731	0.0129166038129086	0.000118954585453089	1.91311831718925e-05	-0.00930092766551018	0.000990693696360411	1.06586058948429e-20	-0.0667731223203323	0.0331186710206578	0.0437814089203274	- - - - -	gln	gln	gln	gln	Glutamine (mmol/l)	Amino acids	Amino acids	Glutamine	no
bmi	Total cholesterol in HDL (mmol/l)	-0.106352305187485	0.0190794926016756	2.48715027449934e-08	-0.0899629668093682	0.0148147742338758	1.25920846777983e-09	1.22149070394856e-15	-0.0946313202584266	0.00497857260388596	9.59001500170037e-77	-0.206761646690866	0.0509331940602058	4.91847497671321e-05	- - - - -	hdlc	hdlc	hdlc	hdlc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	HDL C	no
